t,s,v,a,j
0.4270,91.8458,18.2407,-3.9000,0.0000
0.4280,91.8275,18.2368,-3.9000,0.0000
0.4290,91.8093,18.2329,-3.9000,0.0000
0.4300,91.7911,18.2290,-3.9000,0.0000
0.4310,91.7729,18.2251,-3.9000,0.0000
0.4320,91.7546,18.2213,-3.8000,100.0000
0.4330,91.7364,18.2175,-3.8000,0.0000
0.4340,91.7182,18.2137,-3.8000,0.0000
0.4350,91.7000,18.2099,-3.8000,0.0000
0.4360,91.6818,18.2061,-3.8000,0.0000
0.4370,91.6636,18.2023,-3.8000,0.0000
0.4380,91.6454,18.1985,-3.8000,0.0000
0.4390,91.6272,18.1947,-3.8000,0.0000
0.4400,91.6090,18.1909,-3.8000,0.0000
0.4410,91.5908,18.1871,-3.8000,0.0000
0.4420,91.5726,18.1833,-3.8000,0.0000
0.4430,91.5545,18.1795,-3.8000,0.0000
0.4440,91.5363,18.1757,-3.8000,0.0000
0.4450,91.5181,18.1719,-3.8000,0.0000
0.4460,91.5000,18.1681,-3.8000,0.0000
0.4470,91.4818,18.1643,-3.8000,0.0000
0.4480,91.4636,18.1605,-3.8000,0.0000
0.4490,91.4455,18.1567,-3.8000,0.0000
0.4500,91.4273,18.1529,-3.8000,0.0000
0.4510,91.4092,18.1491,-3.8000,0.0000
0.4520,91.3910,18.1453,-3.8000,0.0000
0.4530,91.3729,18.1415,-3.8000,0.0000
0.4540,91.3548,18.1377,-3.8000,0.0000
0.4550,91.3366,18.1339,-3.8000,0.0000
0.4560,91.3185,18.1301,-3.8000,0.0000
0.4570,91.3004,18.1263,-3.8000,0.0000
0.4580,91.2823,18.1225,-3.8000,0.0000
0.4590,91.2641,18.1187,-3.8000,0.0000
0.4600,91.2460,18.1149,-3.8000,0.0000
0.4610,91.2279,18.1111,-3.8000,0.0000
0.4620,91.2098,18.1073,-3.8000,0.0000
0.4630,91.1917,18.1035,-3.8000,0.0000
0.4640,91.1736,18.0997,-3.8000,0.0000
0.4650,91.1555,18.0959,-3.8000,0.0000
0.4660,91.1374,18.0921,-3.8000,0.0000
0.4670,91.1193,18.0883,-3.8000,0.0000
0.4680,91.1013,18.0845,-3.8000,0.0000
0.4690,91.0832,18.0807,-3.8000,0.0000
0.4700,91.0651,18.0769,-3.8000,0.0000
0.4710,91.0470,18.0731,-3.8000,0.0000
0.4720,91.0290,18.0693,-3.8000,0.0000
0.4730,91.0109,18.0655,-3.8000,0.0000
0.4740,90.9928,18.0617,-3.8000,0.0000
0.4750,90.9748,18.0579,-3.8000,0.0000
0.4760,90.9567,18.0541,-3.8000,0.0000
0.4770,90.9387,18.0503,-3.8000,0.0000
0.4780,90.9206,18.0465,-3.8000,0.0000
0.4790,90.9026,18.0427,-3.8000,0.0000
0.4800,90.8846,18.0389,-3.8000,0.0000
0.4810,90.8665,18.0351,-3.8000,0.0000
0.4820,90.8485,18.0313,-3.8000,0.0000
0.4830,90.8305,18.0275,-3.8000,0.0000
0.4840,90.8125,18.0237,-3.8000,0.0000
0.4850,90.7944,18.0199,-3.8000,0.0000
0.4860,90.7764,18.0161,-3.8000,0.0000
0.4870,90.7584,18.0123,-3.8000,0.0000
0.4880,90.7404,18.0085,-3.8000,0.0000
0.4890,90.7224,18.0047,-3.8000,0.0000
0.4900,90.7044,18.0009,-3.8000,0.0000
0.4910,90.6864,17.9971,-3.8000,0.0000
0.4920,90.6684,17.9933,-3.8000,0.0000
0.4930,90.6504,17.9895,-3.8000,0.0000
0.4940,90.6325,17.9857,-3.8000,0.0000
0.4950,90.6145,17.9819,-3.8000,0.0000
0.4960,90.5965,17.9781,-3.8000,0.0000
0.4970,90.5785,17.9743,-3.8000,0.0000
0.4980,90.5606,17.9705,-3.8000,0.0000
0.4990,90.5426,17.9667,-3.8000,0.0000
0.5000,90.5246,17.9629,-3.8000,0.0000
0.5010,90.5067,17.9591,-3.8000,0.0000
0.5020,90.4887,17.9553,-3.8000,0.0000
0.5030,90.4708,17.9515,-3.8000,0.0000
0.5040,90.4528,17.9477,-3.8000,0.0000
0.5050,90.4349,17.9439,-3.8000,0.0000
0.5060,90.4169,17.9401,-3.8000,0.0000
0.5070,90.3990,17.9363,-3.8000,0.0000
0.5080,90.3811,17.9325,-3.8000,0.0000
0.5090,90.3631,17.9287,-3.8000,0.0000
0.5100,90.3452,17.9249,-3.8000,0.0000
0.5110,90.3273,17.9211,-3.8000,0.0000
0.5120,90.3094,17.9173,-3.8000,0.0000
0.5130,90.2915,17.9135,-3.8000,0.0000
0.5140,90.2736,17.9097,-3.8000,0.0000
0.5150,90.2557,17.9059,-3.8000,0.0000
0.5160,90.2378,17.9021,-3.8000,0.0000
0.5170,90.2199,17.8983,-3.8000,0.0000
0.5180,90.2020,17.8945,-3.8000,0.0000
0.5190,90.1841,17.8907,-3.8000,0.0000
0.5200,90.1662,17.8869,-3.8000,0.0000
0.5210,90.1483,17.8831,-3.8000,0.0000
0.5220,90.1304,17.8793,-3.8000,0.0000
0.5230,90.1126,17.8755,-3.8000,0.0000
0.5240,90.0947,17.8717,-3.8000,0.0000
0.5250,90.0768,17.8679,-3.8000,0.0000
0.5260,90.0590,17.8641,-3.8000,0.0000
0.5270,90.0411,17.8603,-3.8000,0.0000
0.5280,90.0233,17.8565,-3.8000,0.0000
0.5290,90.0054,17.8527,-3.8000,0.0000
0.5300,89.9876,17.8489,-3.8000,0.0000
0.5310,89.9697,17.8451,-3.8000,0.0000
0.5320,89.9519,17.8413,-3.8000,0.0000
0.5330,89.9340,17.8375,-3.8000,0.0000
0.5340,89.9162,17.8337,-3.8000,0.0000
0.5350,89.8984,17.8300,-3.7000,100.0000
0.5360,89.8806,17.8263,-3.7000,0.0000
